-47	1
-2	-18
-18	18
-24	20
-30	26
-17	24
-30	9
-31	-10
5	-14
11	-14
-37	-52
25	-23
26	13
17	2
9	11
-13	0
-20	-12
-21	-6
-4	-3
-8	-15
-22	-13
0	18
14	-8
39	-14
26	9
-1	-16
15	-9
10	24
-2	0
26	-14
43	5
19	11
16	6
6	21
26	24
13	26
-25	12
-17	-15
-56	-25
-19	6
9	2
-7	11
16	29
17	26
-53	-48
-17	-10
10	-1
62	50
18	6
-47	-54
-49	-5
-50	-15
-74	-35
7	-11
-14	-53
-15	-10
54	15
32	32
57	35
32	46
-28	0
-60	-32
30	65
3	30
16	-5
-1	23
-18	20
-22	6
-25	29
-31	0
0	-3
-18	-9
-19	-3
8	-17
18	17
12	3
-5	-6
0	-5
3	-4
10	-28
7	-19
16	-8
45	8
0	11
-5	3
-22	21
-8	-25
7	-9
10	-10
18	-21
16	0
33	28
13	29
3	44
13	41
-54	44
-24	-3
-27	-10
-24	-38
-36	-28
13	-16
29	-27
29	-13
58	-10
17	8
26	0
-1	0
-26	-21
